id	tweet	created_at	Fcount	Rcount	Glocation	country	username
536852609723007000	'Harmonics are whole number multiples of a fundamental frequency.' Not what I needed on a Monday morning..	Mon Nov 24 17:33:31 IST 2014	0	0	54.580696,-5.937391	United Kingdom	Sarah
536852616345444000	Kalau aku ada penyakit batu karang akan datang ni semua salah Su sebab takde air	Mon Nov 24 17:33:32 IST 2014	0	0	2.266078,102.281385	Malaysia	????????
536852622591136000	Beyonce's 7/11 video >>	Mon Nov 24 17:33:34 IST 2014	0	0	-23.93513,31.14798	South Africa	. k
536852635727700000	Why did i just listen to that whole song????	Mon Nov 24 17:33:37 IST 2014	0	0	38.18617,-85.60431	United States	g0ldiamonds???
536852642421830000	@elfinancierocr: TV satelital gana espacios en el pa??s http://t.co/zn2D6SPTup http://t.co/b7lo8yt5ZY incre??ble primero se cae la casa	Mon Nov 24 17:33:38 IST 2014	0	0	9.941576,-84.069197	Costa Rica	Ordnael=Leandro
536852644779016000	@ilkedaglioglu film izlemek ne ya ahahah sinema yani ????	Mon Nov 24 17:33:39 IST 2014	0	0	39.870414,32.749466	T??rkiye	Merve Hasimzade
536852651917738000	???@thewombats: Final recording session for album 3! http://t.co/YFcGetF9pi??? ??????????????-????	Mon Nov 24 17:33:41 IST 2014	0	0	56.753594,60.709803	Russia	claire
536852654253564000	With Ida at Cinema XXI The Park Mall ??? https://t.co/JMdBzFKaG3	Mon Nov 24 17:33:41 IST 2014	0	0	-7.59895,110.81702	Indonesia	Rio
536852680824472000	Sometimes I just lay under my blanket and pretend I'm non-existent.Especially in the mornings.	Mon Nov 24 17:33:48 IST 2014	0	0	29.696221,-95.280912	United States	Lesley . 
536852699359494000	A??lay??p s??zlay??p ezik g??r??nmektense, her ??eye g??ler ge??er gams??z g??r??n??r??m daha iyi.	Mon Nov 24 17:33:52 IST 2014	0	0	40.978184,37.887193	T??rkiye	17.07.2013 
536852706242347000	Rock  n roll smiles all day long. #djmarkb (at @CSGIEvents World Headquarters in Queensbury, NY) https://t.co/JJCOUPxYQa	Mon Nov 24 17:33:54 IST 2014	0	0	43.340099,-73.682363	United States	mark brenneisen
